source,trade_id,timestamp,event_type,total_buys,total_sells,total_trades,win_rate_pct,realized_pnl_usd,realized_pnl_sol,total_cost_usd,sold_income_usd,total_fees_usd,native_balance_sol,avg_holding_seconds,loss_gt_50,loss_0_50,profit_0_100,profit_100_400,profit_gt_400,token_address,token_amount,current_sol_balance,token_symbol,quote_amount_sol,buy_cost_usd,sold_usd,pnl_usd,pnl_pct,pnl_sol,is_win,score_at_buy,rug_ratio,source_strat,timestamp_open,timestamp_close,entry_price,smart_degen,bundler_rate,holder_count,price_usd,launchpad,tx_hash,gas_usd,dex_usd,priority_fee_sol,tip_fee_sol
bot_positions,133,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,DbGk4FpMmgtDrGryP4ooSqjkt7WVjkWmzEF6s6Papump,,,BFPOS,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,10830.6,0,0.3623,68,,,,,,,
bot_positions,134,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,2hEXK7grisLruzRvpsQcj36V66svFef6rv7ZNNP3gEXj,,,KIRB,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,3047.88,0,0.1264,11,,,,,,,
bot_positions,135,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,7GmZXw5rJEv5xj49t2dVBWavXVSv2Wy7idf1MNAZpump,,,FAG,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,2643.96,0,0,8,,,,,,,
bot_trade_log,35,2026-07-03 21:23:36 UTC,close,,,,,,,,,,,,,,,,,48oT2QgpyPFUiJYXbvZTS1tVDp98R9uYAJX5ojNrpump,,,SEMAN,0.05,,,,,-0.005,False,100,0.204,smart_money,2026-07-03 21:23:01 UTC,2026-07-03 21:23:36 UTC,,,,,,,,,,,
bot_positions,136,2026-07-03 21:23:36 UTC,close,,,,,,,,,,,,,,,,,CFPkPq1eYPR8GLzEo59wUbbMioX4bshaTQiSGzTSpump,,,MENSA,0.05,,,,,-0.005000000000000001,False,100,0.23,smart_money,2026-07-03 21:23:01 UTC,2026-07-03 21:23:36 UTC,1930030,27,0.0726,2288,,,,,,,
bot_positions,137,2026-07-03 21:23:36 UTC,close,,,,,,,,,,,,,,,,,48oT2QgpyPFUiJYXbvZTS1tVDp98R9uYAJX5ojNrpump,,,SEMAN,0.05,,,,,-0.005000000000000001,False,100,0.204,smart_money,2026-07-03 21:23:01 UTC,2026-07-03 21:23:36 UTC,621579,24,0.1808,2667,,,,,,,
bot_trade_log,36,2026-07-03 21:29:23 UTC,close,,,,,,,,,,,,,,,,,BEvgLpRLiMC111AYUFr8TMto7LmyaTZ3wu4LPbxSpump,,,Nigga,0.05,,,,,-0.005,False,100,0.02,trending,2026-07-03 21:29:13 UTC,2026-07-03 21:29:23 UTC,,,,,,,,,,,
bot_positions,138,2026-07-03 21:29:23 UTC,close,,,,,,,,,,,,,,,,,BEvgLpRLiMC111AYUFr8TMto7LmyaTZ3wu4LPbxSpump,,,Nigga,0.05,,,,,-0.005000000000000001,False,100,0.02,trending,2026-07-03 21:29:13 UTC,2026-07-03 21:29:23 UTC,42434.8,7,0.3161,412,,,,,,,
bot_trade_log,37,2026-07-03 21:46:43 UTC,close,,,,,,,,,,,,,,,,,DbGk4FpMmgtDrGryP4ooSqjkt7WVjkWmzEF6s6Papump,,,BFPOS,0.05,,,,,-0.005,False,100,0.252,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:43 UTC,,,,,,,,,,,
bot_trade_log,38,2026-07-03 21:46:43 UTC,close,,,,,,,,,,,,,,,,,5oewdsrJXdJuCnvGdP9YcrgPFkp2GJgCeK7FTAHYpump,,,BLACKHOUSE,0.05,,,,,-0.005,False,100,0.23,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:43 UTC,,,,,,,,,,,
